Datenpunkt ID;Name;ADDR
SystemIdent_SX;Regelung Software-Index;0x00F8
GWGReglerkennung;Reglerkennung;0x00F9
GWG_Kennung;GerÑt;0x00F9
NRF_TiefpassTemperaturwert_ATS;Aussentemperatur;0x080E
TiefpassTemperaturwert_KTS_A1;Vorlauftemperatur;0x0810
TiefpassTemperaturwert_KTS;Kesseltemperatur;0x0810
NRF_TiefpassTemperaturwert_PTSO;Puffertemperatur Oben;0x0810
NRF_TiefpassTemperaturwert_PTSU;Puffertemperatur Unten;0x0812
TiefpassTemperaturwertWW1;Temperatur Speicher Ladesensor Komfortsensor;0x0812
TiefpassTemperaturwert_STS1;Warmwassertemperatur (STS1);0x0812
NRF_TiefpassTemperaturwert_STS;Speichertemperatur;0x0814
TiefpassTemperaturwert_STS2;Warmwassertemperatur (STS2);0x0814
TiefpassTemperaturwerWW2;Auslauftemperatur;0x0814
NRF_TiefpassTemperaturwert_VTSM1;Vorlauftemperatur M1;0x0816
NRF_TiefpassTemperaturwert_VTSM2;Vorlauftemperatur M2;0x0818
NRF_TiefpassTemperaturwert_STSSOL;Speichertemperatur Solar;0x081A
RelaisK12;Relais K12 Interne Anschlu·erweiterung;0x0842
FlowSwitch;Flow Switch;0x0883
BetriebsstundenBrenner1;Betriebsstunden Brenner Stufe 1;0x0886
BetriebsstundenBrennerGWG;Betriebsstunden Brenner ;0x0886
NRF_K8A_Brennerstarts;Brennerstarts;0x088A
BrennerstartsGWG;Brennerstarts;0x088A
BrennerstartsGWGReset;Anzahl Brennerstarts zurÅcksetzen;0x088A
Uhrzeit;Datum und Uhrzeit ;0x088E
TiefpassTemperatur_RTS_A1M1;Raumtemperatur;0x0896
TiefpassTemperaturwert_RTS_M2;Raumtemperatur;0x0898
BetriebsstundenBrennerResetGWG;Betriebsstunden Brenner zurÅcksetzen;0x08A7
NRF_BetriebszeitBrenner1Be;Betriebszeit Brenner 1;0x08A7
BetriebsstundenBrennerBedienungGWG;Brenner-Betriebsstunden ;0x08A7
NRF_AusgaengeNeutral;Alle AusgÑnge werden in den spannungslosen, neutralen Zustand geschaltet.;0x08AE
NRF_Brennstoffverbrauch;Brennstoffverbrauch (lesen und schreiben von der Datenschnittstelle);0x08B0
NRF_BetriebszeitStandby;Betriebszeit Standby (lesen und schreiben von der Datenschnittstelle);0x08B8
